"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"30/10/2025";"30/10/2025";"PRLV PayPal Europe S.a.r.l. et C";"39,99";""
"30/10/2025";"30/10/2025";"VIR INST vers COMPTE COMMUN";"1000,00";""
"30/10/2025";"30/10/2025";"VIR SALAIRE ARKADE";"";"1874,78"
"28/10/2025";"28/10/2025";"PRLV PayPal Europe S.a.r.l. et C";"59,99";""
"27/10/2025";"27/10/2025";"VIR PayPal Europe S.a.r.l. et Ci";"";"59,99"
"22/10/2025";"22/10/2025";"PRLV PayPal Europe S.a.r.l. et C";"10,99";""
"13/10/2025";"01/10/2025";"INT DEB+COM TRIM 03 TAEG 12,0274";"2,04";""
"13/10/2025";"01/10/2025";"RETROCES. INT DEB+COM TRIM03";"";"0,61"
"09/10/2025";"09/10/2025";"PRLV PayPal Europe S.a.r.l. et C";"11,99";""
"09/10/2025";"09/10/2025";"PRLV PayPal Europe S.a.r.l. et C";"10,99";""
"08/10/2025";"07/10/2025";"F COTISATION EUROCOMPTE 10/25";"5,04";""
"07/10/2025";"07/10/2025";"PRLV PayPal Europe S.a.r.l. et C";"2,75";""
"06/10/2025";"06/10/2025";"PRLV FOREVER";"27,57";""
"06/10/2025";"06/10/2025";"PRLV SURAVENIR ASSURANCES";"16,64";""
"06/10/2025";"06/10/2025";"PRLV BASIC FIT FRANCE";"19,99";""
"04/10/2025";"05/10/2025";"ECH PRET 0750863842401";"496,79";""
"04/10/2025";"05/10/2025";"ECH PRET 0743863842401";"123,62";""
"01/10/2025";"01/10/2025";"vers SYNDIC";"89,20";""
