"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"31/01/2026";"31/01/2026";"VIR INST vers COMPTE COMMUN";"800,00";""
"31/01/2026";"31/01/2026";"CARTE 30/01 LUDIK ADDICT BREST";"22,40";""
"31/01/2026";"31/01/2026";"CARTE 30/01 LECLERC BREST";"35,62";""
"30/01/2026";"30/01/2026";"PRLV PayPal (Europe) S.a r.l. et";"22,05";""
"30/01/2026";"30/01/2026";"VIR SALAIRE ARKADE";"";"1903,09"
"29/01/2026";"29/01/2026";"CARTE 28/01 SUPER U 29 BREST";"7,51";""
"28/01/2026";"28/01/2026";"CARTE 27/01 INTERMARCHE BREST";"15,22";""
"27/01/2026";"27/01/2026";"PRLV PayPal Europe S.a.r.l. et C";"100,36";""
"27/01/2026";"27/01/2026";"VIR GENERATION";"";"9,20"
"26/01/2026";"26/01/2026";"PRLV BASIC FIT FRANCE";"19,99";""
"26/01/2026";"26/01/2026";"PRLV PayPal Europe S.a.r.l. et C";"26,09";""
"26/01/2026";"26/01/2026";"CARTE 25/01 MC DONALD S LANGUEUX";"16,20";""
"24/01/2026";"24/01/2026";"VIR INST MR DEMIRDELEN OU MLE MA";"";"200,00"
"23/01/2026";"23/01/2026";"CARTE 22/01 SUPER U 29 BREST";"14,93";""
"23/01/2026";"23/01/2026";"VIR GENERATION";"";"10,50"
"22/01/2026";"22/01/2026";"CARTE 21/01 DR LAURA BRIOT PLOUZANE";"23,00";""
"22/01/2026";"22/01/2026";"CARTE 21/01 AUGUSTIN BREST brest";"10,80";""
"22/01/2026";"22/01/2026";"CARTE 21/01 CARREFOUR BREST BREST";"10,00";""
"22/01/2026";"22/01/2026";"CARTE 21/01 AUGUSTIN BREST brest";"7,90";""
"21/01/2026";"21/01/2026";"CARTE 20/01 LUDIK ADDICT BREST";"25,90";""
"21/01/2026";"21/01/2026";"CARTE 20/01 BREST LUDIQUE BREST";"10,50";""
"21/01/2026";"21/01/2026";"CARTE 20/01 GES PAPETERIE BREST";"2,78";""
"20/01/2026";"20/01/2026";"CARTE 19/01 DR SABLON DU COR BREST";"10,50";""
"19/01/2026";"19/01/2026";"CARTE 17/01 SUPER U 29 BREST";"78,09";""
"19/01/2026";"19/01/2026";"CARTE 17/01 FOURNIL-SS CONTA BREST";"18,10";""
"17/01/2026";"17/01/2026";"CARTE 16/01 PHARMACIE KER BREST";"27,08";""
"17/01/2026";"17/01/2026";"CARTE 16/01 SUPER U 29 BREST";"2,65";""
"17/01/2026";"17/01/2026";"VIR INST MR DEMIRDELEN OU MLE MA";"";"150,00"
"15/01/2026";"15/01/2026";"CARTE 14/01 BURGER KING GUI GUIPAVAS";"35,15";""
"14/01/2026";"14/01/2026";"CARTE 13/01 MAMAMIA BREST";"27,70";""
"13/01/2026";"13/01/2026";"CARTE 12/01 LECLERC BREST";"20,03";""
"13/01/2026";"13/01/2026";"CARTE 12/01 FOURNIL-SS CONTA BREST";"5,90";""
"13/01/2026";"13/01/2026";"CARTE 12/01 FOURNIL DE PAULI BREST";"4,60";""
"12/01/2026";"12/01/2026";"CARTE 10/01 SUPER U 29 BREST";"100,62";""
"12/01/2026";"12/01/2026";"CARTE 10/01 SUPER U 29 BREST";"2,89";""
"12/01/2026";"12/01/2026";"VIR GENERATION";"";"19,50"
"11/01/2026";"11/01/2026";"VIR INST M DILAN DEMIRDELEN";"";"62,00"
"11/01/2026";"11/01/2026";"VIR INST MR DEMIRDELEN OU MLE MA";"";"250,00"
"09/01/2026";"09/01/2026";"CARTE 08/01 SUPER U 29 BREST";"6,23";""
"08/01/2026";"08/01/2026";"PRLV PayPal Europe S.a.r.l. et C";"5,99";""
"08/01/2026";"08/01/2026";"PRLV PayPal Europe S.a.r.l. et C";"22,99";""
"08/01/2026";"07/01/2026";"F COTISATION EUROCOMPTE 01/26";"5,11";""
"08/01/2026";"08/01/2026";"CARTE 07/01 FOURNIL-SS CONTA BREST";"14,85";""
"07/01/2026";"07/01/2026";"PRLV FOREVER";"27,57";""
"07/01/2026";"07/01/2026";"CARTE 06/01 DR SABLON DU COR BREST";"19,50";""
"07/01/2026";"07/01/2026";"CARTE 06/01 FOURNIL-SS CONTA BREST";"7,85";""
"06/01/2026";"06/01/2026";"CARTE 05/01 SUPER U 29 BREST";"56,46";""
"05/01/2026";"05/01/2026";"PRLV SURAVENIR ASSURANCES";"16,64";""
"05/01/2026";"05/01/2026";"PRLV PayPal Europe S.a.r.l. et C";"11,01";""
"05/01/2026";"05/01/2026";"VIR GENERATION";"";"9,00"
"03/01/2026";"05/01/2026";"ECH PRET 0750863842401";"496,79";""
"03/01/2026";"05/01/2026";"ECH PRET 0743863842401";"123,62";""
"03/01/2026";"03/01/2026";"CARTE 02/01 SUPER U 29 BREST";"51,39";""
"03/01/2026";"03/01/2026";"CARTE 02/01 PHARMACIE KER BREST";"14,05";""
"03/01/2026";"03/01/2026";"CARTE 02/01 SUPER U 29 BREST";"8,07";""
"02/01/2026";"02/01/2026";"PRLV PayPal (Europe) S.a r.l. et";"22,06";""
"02/01/2026";"02/01/2026";"PRLV PayPal Europe S.a.r.l. et C";"1,99";""
"01/01/2026";"01/01/2026";"vers SYNDIC";"89,20";""
