"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"31/03/2026";"31/03/2026";"PRLV PayPal (Europe) S.a r.l. et";"22,06";""
"31/03/2026";"31/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"6,99";""
"30/03/2026";"30/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"18,04";""
"30/03/2026";"30/03/2026";"VIR INST vers COMPTE COMMUN";"1800,00";""
"30/03/2026";"30/03/2026";"VIR SALAIRE ARKADE";"";"2876,74"
"27/03/2026";"27/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"36,60";""
"27/03/2026";"27/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"4,99";""
"26/03/2026";"26/03/2026";"VIR PayPal Europe S.a.r.l. et Ci";"";"87,17"
"26/03/2026";"26/03/2026";"VIR GENERATION";"";"43,49"
"25/03/2026";"25/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"3,24";""
"24/03/2026";"24/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"87,17";""
"24/03/2026";"24/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"3,31";""
"24/03/2026";"24/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"3,74";""
"24/03/2026";"24/03/2026";"CARTE 23/03 INTERMARCHE BREST";"14,72";""
"23/03/2026";"23/03/2026";"PRLV BASIC FIT FRANCE";"19,99";""
"21/03/2026";"21/03/2026";"CARTE 20/03 LA FABRIK 1801 BREST";"5,50";""
"20/03/2026";"20/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"15,79";""
"20/03/2026";"20/03/2026";"VIR INST MR DEMIRDELEN OU MLE MA";"";"150,00"
"18/03/2026";"18/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"11,99";""
"17/03/2026";"17/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"63,39";""
"10/03/2026";"10/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"23,00";""
"10/03/2026";"07/03/2026";"F COTISATION EUROCOMPTE 03/26";"5,11";""
"08/03/2026";"08/03/2026";"VIR INST WERO WERO TIPHAINE B";"15,00";""
"05/03/2026";"05/03/2026";"PRLV FOREVER";"28,40";""
"05/03/2026";"05/03/2026";"PRLV SURAVENIR ASSURANCES";"16,64";""
"04/03/2026";"05/03/2026";"ECH PRET 0750863842401";"496,79";""
"04/03/2026";"05/03/2026";"ECH PRET 0743863842401";"123,62";""
"04/03/2026";"04/03/2026";"VIR INST vers SYNDIC";"217,77";""
"04/03/2026";"04/03/2026";"VIR INST MR DEMIRDELEN OU MLE MA";"";"250,00"
"03/03/2026";"03/03/2026";"PRLV PayPal (Europe) S.a r.l. et";"22,05";""
"03/03/2026";"03/03/2026";"PRLV PayPal Europe S.a.r.l. et C";"6,99";""
"01/03/2026";"01/03/2026";"vers SYNDIC";"89,20";""
