"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"30/05/2025";"30/05/2025";"VIR SALAIRE ARKADE";"";"1970,87"
"29/05/2025";"29/05/2025";"PRLV PayPal Europe S.a.r.l. et C";"84,80";""
"28/05/2025";"28/05/2025";"CARTE 28/05 NUVERSE SINGAPORE 10,99 EUR";"10,99";""
"28/05/2025";"28/05/2025";"CARTE 27/05 Xsolla Untapped";"0,86";""
"28/05/2025";"28/05/2025";"ANN CARTE Xsolla 18777976552";"";"0,86"
"26/05/2025";"26/05/2025";"ANN CARTE Vinted 03 Vilnius";"";"20,29"
"24/05/2025";"24/05/2025";"CARTE 22/05 Vinted 03 Vilnius";"20,29";""
"23/05/2025";"23/05/2025";"VIR GENERATION";"";"23,73"
"22/05/2025";"22/05/2025";"VIR GENERATION";"";"9,00"
"20/05/2025";"20/05/2025";"CARTE 19/05 ARKEA LE RELECQ KERH";"100,00";""
"19/05/2025";"19/05/2025";"PRLV BASIC FIT FRANCE";"19,99";""
"16/05/2025";"16/05/2025";"PRLV PayPal (Europe) S.a r.l. et";"9,54";""
"15/05/2025";"15/05/2025";"CARTE 14/05 COMITEO MONTPELLIER";"31,10";""
"08/05/2025";"07/05/2025";"F COTISATION EUROCOMPTE 05/25";"5,04";""
"07/05/2025";"07/05/2025";"PRLV FOREVER";"27,10";""
"06/05/2025";"06/05/2025";"VIR GENERATION";"";"18,00"
"05/05/2025";"05/05/2025";"PRLV SURAVENIR ASSURANCES";"14,72";""
"04/05/2025";"04/05/2025";"VIR INST vers COMPTE COMMUN";"1000,00";""
"03/05/2025";"05/05/2025";"ECH PRET 0750863842401";"496,79";""
"03/05/2025";"05/05/2025";"ECH PRET 0743863842401";"123,62";""
"02/05/2025";"02/05/2025";"PRLV PayPal Europe S.a.r.l. et C";"43,99";""
"01/05/2025";"01/05/2025";"vers SYNDIC";"89,20";""
